index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract
21,\wallet\src\de\schildbach\wallet\ui\AddressBookActivity.PagerAdapter.java,PagerAdapter,43,0,2,0,2,false,false,2,true,false,1,1,3,0,false,false,true,true,false,private,2,0,0,false
22,\wallet\src\de\schildbach\wallet\ui\AbstractWalletActivity.java,AbstractWalletActivity,148,1,13,0,1,false,false,3,false,false,2,19,16,8,false,false,false,true,false,public,0,0,13,true
23,\wallet\src\de\schildbach\wallet\ui\AddressBookActivity.java,AddressBookActivity,100,3,4,0,0,false,false,3,false,false,2,4,13,3,false,false,false,true,false,public,2,0,1,false
24,\wallet\src\de\schildbach\wallet\ui\AmountCalculatorFragment.Listener.java,Listener,25,0,0,0,0,false,false,1,true,false,0,0,1,0,true,true,true,false,false,public,0,0,0,false
25,\wallet\src\de\schildbach\wallet\ui\BlockchainStateFragment.BlockchainBroadcastReceiver.java,BlockchainBroadcastReceiver,38,1,1,0,0,false,false,3,true,false,1,2,6,1,false,false,true,true,false,private,1,0,0,false
26,\wallet\src\de\schildbach\wallet\ui\AmountCalculatorFragment.java,AmountCalculatorFragment,204,8,8,0,0,false,false,3,false,false,7,9,25,17,false,false,false,true,false,public,6,2,0,false
27,\wallet\src\de\schildbach\wallet\ui\CurrencyAmountView.Listener.java,Listener,26,0,0,0,0,false,false,1,true,false,0,0,0,0,true,true,true,false,false,public,0,0,0,false
28,\wallet\src\de\schildbach\wallet\ui\BlockchainStateFragment.java,BlockchainStateFragment,140,7,6,0,0,false,false,3,false,false,3,4,15,6,false,false,false,true,false,public,5,1,0,false
29,\wallet\src\de\schildbach\wallet\ui\CurrencyAmountView.TextViewListener.java,TextViewListener,70,0,5,0,0,false,false,3,true,false,6,14,9,4,false,false,true,true,false,private,5,0,0,false
30,\wallet\src\de\schildbach\wallet\ui\CurrencyCodeDrawable.java,CurrencyCodeDrawable,61,3,5,2,2,false,false,3,false,false,0,3,4,0,false,false,false,true,false,public,5,0,0,false
31,\wallet\src\de\schildbach\wallet\ui\CurrencyAmountView.java,CurrencyAmountView,236,10,16,9,1,false,false,3,false,false,8,12,19,17,false,false,false,true,false,public,10,3,3,false
32,\wallet\src\de\schildbach\wallet\ui\EditAddressBookEntryFragment.java,EditAddressBookEntryFragment,122,4,5,0,0,false,false,5,false,false,4,9,17,7,false,false,false,true,false,public,4,1,0,false
33,\wallet\src\de\schildbach\wallet\ui\ExchangeRatesActivity.java,ExchangeRatesActivity,47,0,2,0,0,false,false,3,false,false,1,2,4,1,false,false,false,true,false,public,1,0,1,false
34,\wallet\src\de\schildbach\wallet\ui\ExchangeRatesFragment.java,ExchangeRatesFragment,193,6,10,0,0,false,false,3,false,false,4,12,31,16,false,false,false,true,false,public,9,1,0,false
35,\wallet\src\de\schildbach\wallet\ui\FileAdapter.java,FileAdapter,57,1,2,0,2,false,false,2,true,false,2,6,8,2,false,false,false,true,false,public,2,0,0,false
36,\wallet\src\de\schildbach\wallet\ui\PeerListFragment.PeerLoader.java,PeerLoader,64,3,3,0,0,false,false,2,true,false,0,0,8,3,true,false,true,true,false,private,1,0,2,false
37,\wallet\src\de\schildbach\wallet\ui\PeerListFragment.java,PeerListFragment,154,6,10,0,0,false,false,3,false,false,2,10,22,11,false,false,false,true,false,public,10,0,0,false
38,\wallet\src\de\schildbach\wallet\ui\PeerMonitorActivity.java,PeerMonitorActivity,46,0,2,0,0,false,false,3,false,false,1,2,4,1,false,false,false,true,false,public,1,0,1,false
39,\wallet\src\de\schildbach\wallet\ui\PreferencesActivity.java,PreferencesActivity,80,2,3,0,0,false,false,2,false,false,2,4,11,5,false,false,false,true,false,public,2,0,1,false
40,\wallet\src\de\schildbach\wallet\ui\RequestCoinsActivity.java,RequestCoinsActivity,72,1,4,0,0,false,false,3,false,false,1,4,8,2,false,false,false,true,false,public,2,0,2,false
41,\wallet\src\de\schildbach\wallet\ui\RequestCoinsFragment.java,RequestCoinsFragment,237,12,12,0,0,false,false,3,false,false,5,10,35,25,false,false,false,true,false,public,8,4,0,false
42,\wallet\src\de\schildbach\wallet\ui\ScanActivity.java,ScanActivity,306,14,10,0,0,false,false,2,false,false,4,12,36,29,false,false,false,true,false,public,7,0,3,false
43,\wallet\src\de\schildbach\wallet\ui\ScannerView.java,ScannerView,133,12,4,1,0,false,false,2,false,false,3,5,14,12,false,false,false,true,false,public,4,0,0,false
44,\wallet\src\de\schildbach\wallet\ui\SendCoinsActivity.java,SendCoinsActivity,131,3,7,0,0,false,false,3,false,false,3,9,15,10,false,false,false,true,false,public,2,2,3,false
45,\wallet\src\de\schildbach\wallet\ui\SendCoinsFragment.AutoCompleteAddressAdapter.java,AutoCompleteAddressAdapter,67,0,4,0,0,false,false,4,true,false,0,8,11,1,false,false,true,true,false,public,4,0,0,false
46,\wallet\src\de\schildbach\wallet\ui\SendCoinsFragment.ReceivingAddressListener.java,ReceivingAddressListener,44,0,4,0,0,false,false,3,true,false,1,11,4,0,false,false,true,true,false,private,4,0,0,false
47,\wallet\src\de\schildbach\wallet\ui\SendCoinsFragment.State.java,State,24,3,0,0,0,false,false,1,false,false,0,0,0,0,false,false,true,false,true,private,0,0,0,false
48,\wallet\src\de\schildbach\wallet\ui\ShowPasswordCheckListener.java,ShowPasswordCheckListener,37,1,1,0,0,false,false,4,true,false,0,2,4,0,false,false,false,true,false,public,1,0,0,false
49,\wallet\src\de\schildbach\wallet\ui\SendingAddressesFragment.java,SendingAddressesFragment,286,6,17,1,0,false,false,3,false,false,7,23,32,26,false,false,false,true,false,public,11,6,0,false
50,\wallet\src\de\schildbach\wallet\ui\SendCoinsFragment.java,SendCoinsFragment,665,31,23,0,0,false,false,3,false,false,40,27,50,73,false,false,false,true,false,public,12,11,0,false
51,\wallet\src\de\schildbach\wallet\ui\TransactionActivity.java,TransactionActivity,170,4,7,0,0,false,false,2,false,false,5,5,21,14,false,false,false,true,false,public,2,3,2,false
52,\wallet\src\de\schildbach\wallet\ui\TransactionFragment.java,TransactionFragment,234,4,3,0,0,false,false,2,false,false,10,5,33,36,false,false,false,true,false,public,3,0,0,false
53,\wallet\src\de\schildbach\wallet\ui\TransactionsListFragment.Direction.java,Direction,24,2,0,0,0,false,false,1,false,false,0,0,0,0,false,false,true,false,true,public,0,0,0,false
54,\wallet\src\de\schildbach\wallet\ui\TransactionsListAdapter.java,TransactionsListAdapter,193,14,3,0,1,false,false,3,true,false,5,4,27,14,false,false,false,true,false,public,2,1,0,false
55,\wallet\src\de\schildbach\wallet\ui\TransactionsListFragment.TransactionsLoader.java,TransactionsLoader,107,3,3,0,0,false,false,2,true,false,3,0,14,11,true,false,true,true,false,private,1,0,2,false
56,\wallet\src\de\schildbach\wallet\ui\WalletActivity.DialogButtonEnablerListener.java,DialogButtonEnablerListener,82,3,6,0,0,false,false,4,true,false,1,14,12,2,true,false,true,true,false,private,6,0,0,false
57,\wallet\src\de\schildbach\wallet\ui\TransactionsListFragment.java,TransactionsListFragment,213,10,10,0,0,false,false,3,false,false,3,14,30,24,false,false,false,true,false,public,10,0,0,false
58,\wallet\src\de\schildbach\wallet\ui\WalletAddressFragment.java,WalletAddressFragment,130,10,6,0,0,false,false,3,false,false,4,4,23,10,false,false,false,true,false,public,4,2,0,false
59,\wallet\src\de\schildbach\wallet\ui\WalletAddressesAdapter.java,WalletAddressesAdapter,103,7,4,0,4,false,false,3,true,false,4,5,17,6,false,false,false,true,false,public,4,0,0,false
60,\wallet\src\de\schildbach\wallet\ui\WalletActivity.java,WalletActivity,526,4,19,0,0,false,false,2,false,false,15,15,49,58,false,false,false,true,false,public,3,12,4,false
61,\wallet\src\de\schildbach\wallet\ui\WalletAddressesFragment.java,WalletAddressesFragment,234,6,10,0,0,false,false,3,false,false,4,10,31,30,false,false,false,true,false,public,7,3,0,false
62,\wallet\src\de\schildbach\wallet\ui\WalletBalanceFragment.java,WalletBalanceFragment,173,8,10,0,0,false,false,3,false,false,4,10,31,10,false,false,false,true,false,public,10,0,0,false
63,\wallet\src\de\schildbach\wallet\ui\WalletTransactionsFragment.PagerAdapter.java,PagerAdapter,50,0,2,0,2,false,false,2,true,false,1,1,4,0,true,false,true,true,false,private,2,0,0,false
64,\wallet\src\de\schildbach\wallet\ui\WalletTransactionsFragment.java,WalletTransactionsFragment,55,1,2,0,0,false,false,3,false,false,0,4,8,0,false,false,false,true,false,public,2,0,0,false
65,\wallet\src\de\schildbach\wallet\store\SQLiteBlockStore.Helper.java,Helper,41,0,2,0,0,true,false,1,true,false,0,4,3,0,false,false,true,true,false,private,2,0,0,false
66,\wallet\src\de\schildbach\wallet\store\WriteAheadCacheBlockStoreWrapper.java,WriteAheadCacheBlockStoreWrapper,80,4,6,1,2,false,false,6,true,false,2,3,6,5,false,false,false,true,false,public,5,1,0,false
67,\wallet\src\de\schildbach\wallet\store\SQLiteBlockStore.java,SQLiteBlockStore,209,17,6,1,2,true,false,5,false,false,6,3,22,25,false,false,false,true,false,public,5,1,0,false
68,\wallet\src\de\schildbach\wallet\service\AutosyncReceiver.java,AutosyncReceiver,72,1,1,0,0,false,false,2,true,false,3,2,11,4,false,false,false,true,false,public,1,0,0,false
69,\wallet\src\de\schildbach\wallet\service\BlockchainService.java,BlockchainService,43,12,0,0,0,false,false,2,false,false,0,0,6,4,false,true,false,false,false,public,0,0,0,false
70,\wallet\src\de\schildbach\wallet\service\BlockchainServiceImpl.LocalBinder.java,LocalBinder,28,0,1,0,1,false,false,2,true,false,0,0,1,0,false,false,true,true,false,public,1,0,0,false
71,\wallet\src\de\schildbach\wallet\camera\CameraInterface.java,CameraInterface,25,0,0,0,0,false,false,2,false,false,0,0,1,0,false,true,false,false,false,public,0,0,0,false
72,\wallet\src\de\schildbach\wallet\camera\CameraSupportManager.java,CameraSupportManager,30,0,0,0,0,false,false,3,true,false,0,0,2,1,false,false,false,true,false,public,0,0,0,false
73,\wallet\src\de\schildbach\wallet\camera\CameraManager.java,CameraManager,230,12,13,3,4,false,false,2,true,false,19,14,12,25,false,false,false,true,false,public,8,5,0,false
74,\wallet\src\de\schildbach\wallet\camera\DefaultCameraInterface.java,DefaultCameraInterface,28,0,1,0,0,false,false,3,false,false,0,0,1,1,false,false,false,true,false,public,1,0,0,false
75,\wallet\src\de\schildbach\wallet\camera\GingerbreadCameraInterface.java,GingerbreadCameraInterface,43,0,1,0,0,false,false,3,false,false,2,0,3,2,false,false,false,true,false,public,1,0,0,false
76,\wallet\src\de\schildbach\wallet\service\BlockchainServiceImpl.java,BlockchainServiceImpl,593,24,15,0,1,false,false,3,false,false,25,15,59,75,false,false,false,true,false,public,9,6,0,false
77,\sample-integration-android\src\de\schildbach\wallet\integration\sample\SampleActivity.java,SampleActivity,85,4,2,0,0,false,false,2,false,false,3,4,12,5,false,false,false,true,false,public,0,0,2,false
78,\integration-android\src\de\schildbach\wallet\integration\android\BitcoinIntegration.java,BitcoinIntegration,164,3,10,0,0,false,false,2,false,false,5,23,6,7,false,false,false,true,false,public,6,4,0,false
